cal_date,operating_income,people_cost,site_cost,other_cost,headquarter_cost,operating_people,sales_people,average_performance,admission_student,performance,income,predicted_income,store,operating_income1,cal_date_month
56,372898.25,342758.57,232000.0,36464.91,0.0,21.0,6.0,17757.0595,61.0,724099.0,739021.0,360022.10882054456,15,372898.25,2023-08
57,393679.0,288433.03,262152.0,27936.07,0.0,21.0,6.0,18746.619,44.0,434237.0,448537.0,202363.90114531506,15,393679.0,2023-09
58,,481646.45009308803,185821.18250000002,29854.8075,102.15583333333335,19.833333333333332,5.916666666666667,15904.915811904975,86.35614199720419,,,607822.0027931124,15,,
59,,487406.37573376327,199995.24020833336,31287.934791666663,13.570486111111114,19.819444444444446,5.909722222222222,16707.00356679252,86.84141803097549,,,614214.9401893914,15,,
cal_date,operating_income,people_cost,site_cost,other_cost,headquarter_cost,operating_people,sales_people,average_performance,admission_student,performance,income,predicted_income,store,operating_income1,cal_date_month
49,397519.27,169988.61,0.0,23958.42,0.0,15.0,6.0,26501.2847,24.0,612122.7,612122.7,125634.82258229743,17,397519.27,2023-08
50,657103.45,221496.55,0.0,20890.78,0.0,14.0,5.0,46935.9607,31.0,638502.2,638502.2,371488.24325576593,17,657103.45,2023-09
51,,389595.17587835056,83238.58333333333,14724.824999999999,86.32666666666667,16.166666666666668,4.916666666666667,10635.196186651872,80.10667049403763,,,474146.492223029,17,,
52,,394698.0028459048,90175.13194444444,13846.70875,10.987222222222222,16.09722222222222,4.909722222222222,11473.890268421674,80.55962763518473,,,484044.49996207136,17,,
cal_date,operating_income,people_cost,site_cost,other_cost,headquarter_cost,operating_people,sales_people,average_performance,admission_student,performance,income,predicted_income,store,operating_income1,cal_date_month
56,382019.68,189493.48,154227.0,11871.13,0.0,18.0,7.0,21223.3156,41.0,604472.0,607671.0,266942.73380052164,18,382019.68,2023-08
57,321304.91,190102.99,0.0,24077.64,0.0,18.0,7.0,17850.2728,28.0,266413.0,266913.0,86841.86894572622,18,321304.91,2023-09
58,,496138.47439364076,109244.125,15036.291666666666,112.11833333333334,19.75,8.166666666666666,10781.577287353348,87.73011869428586,,,719934.2301894813,18,,
59,,498841.7842162607,118347.80208333333,14107.88597222222,14.653194444444445,19.5625,8.01388888888889,11863.336103622993,88.02220202886461,,,722072.7420668066,18,,
cal_date,operating_income,people_cost,site_cost,other_cost,headquarter_cost,operating_people,sales_people,average_performance,admission_student,performance,income,predicted_income,store,operating_income1,cal_date_month
56,442533.58,135527.68,49308.0,5704.69,0.0,16.0,5.0,27658.3487,35.0,525499.0,525499.0,165651.87178953964,19,442533.58,2023-08
57,250400.75,165419.89,0.0,12999.97,0.0,15.0,4.0,16693.3833,20.0,173936.6,222696.6,-164371.48948238112,19,250400.75,2023-09
58,,429658.66023153067,48352.450000000004,10890.25,77.12166666666667,15.583333333333334,5.666666666666667,9025.004078935648,83.72569615189478,,,510715.6422243184,19,,
59,,436587.7572214179,42632.7375,10706.435000000001,10.725138888888887,15.631944444444445,5.722222222222222,10232.139927717542,84.28684357975769,,,529108.7373101003,19,,
cal_date,operating_income,people_cost,site_cost,other_cost,headquarter_cost,operating_people,sales_people,average_performance,admission_student,performance,income,predicted_income,store,operating_income1,cal_date_month
56,981255.13,550894.78,731038.53,78968.33,0.0,31.0,10.0,31653.3913,82.0,1167964.0,1213610.0,916882.3932945281,20,981255.13,2023-08
57,896495.64,598987.01,18600.0,44850.02,0.0,31.0,10.0,28919.2142,122.0,1355599.7,1429007.6,1344686.0549614124,20,896495.64,2023-09
58,,617563.0224463525,205277.26249999998,60611.46083333332,143.27083333333334,28.416666666666668,10.916666666666666,26758.02884962862,94.5104220987953,,,1079869.1865704842,20,,
59,,623897.9094260086,222383.70104166667,61174.865069444444,19.272569444444446,28.45138888888889,10.909722222222221,26705.967827705706,95.02397716361278,,,1078411.123354232,20,,
cal_date,operating_income,people_cost,site_cost,other_cost,headquarter_cost,operating_people,sales_people,average_performance,admission_student,performance,income,predicted_income,store,operating_income1,cal_date_month
56,1068273.4,507841.94,193000.0,40340.15,0.0,26.0,10.0,41087.4385,66.0,1020344.0,1084169.0,928811.9889173638,21,1068273.4,2023-08
57,546003.73,580915.33,0.0,57097.86,0.0,25.0,9.0,21840.1492,65.0,1196015.6,1229858.6,641119.4834601661,21,546003.73,2023-09
58,,589573.0478847468,162156.16666666666,47720.75416666667,138.41583333333332,26.583333333333332,10.0,20860.961649940626,92.86437992381876,,,959608.5269091472,21,,
59,,594561.0849939506,171933.84722222222,49528.31701388889,18.86798611111111,26.54861111111111,9.916666666666666,21610.942708401268,93.28924314632451,,,959882.0345997952,21,,
cal_date,operating_income,people_cost,site_cost,other_cost,headquarter_cost,operating_people,sales_people,average_performance,admission_student,performance,income,predicted_income,store,operating_income1,cal_date_month
56,845064.23,226559.15,136795.27,49929.7,0.0,23.0,6.0,36741.923,37.0,723932.0,728912.0,298451.12386123935,22,845064.23,2023-08
57,387287.81,299780.48,0.0,35526.34,0.0,23.0,7.0,16838.6004,51.0,756133.4,783189.4,305227.30777561024,22,387287.81,2023-09
58,,517612.31714818324,119098.77416666667,38954.29750000001,107.01083333333334,22.583333333333332,6.416666666666667,15005.717621881628,88.27202830121759,,,642567.868929605,22,,
59,,525956.9974897028,118920.88784722221,39502.98895833333,13.975069444444443,22.715277777777775,6.534722222222222,16433.39400043227,88.92116670790618,,,666929.7605610068,22,,
cal_date,operating_income,people_cost,site_cost,other_cost,headquarter_cost,operating_people,sales_people,average_performance,admission_student,performance,income,predicted_income,store,operating_income1,cal_date_month
